person_id,name,gender,birth_year,death_year,biography,generation,genealogy_id,birth_family_id
1,李强,M,1500,1560,性情温和，与邻为善，家庭和睦。,1,1,
2,李贞,F,1498,1554,投笔从戎，保家卫国，战功赫赫。,1,1,
3,李芳,M,1522,1604,潜心学问，著述丰富，为后世留下宝贵文化遗产。,2,1,1
4,李婷,M,1526,1610,精通医术，悬壶济世，救人无数。,2,1,1
5,李梅,M,1528,1578,学识渊博，教书育人，桃李满天下。,2,1,1
6,李琳,F,1528,1599,为人正直，乐于助人，在乡里享有崇高威望。,2,1,1
7,李巧,F,1523,1595,潜心学问，著述丰富，为后世留下宝贵文化遗产。,2,1,
8,李艳,F,1545,1619,为人正直，乐于助人，在乡里享有崇高威望。,3,1,2
9,李瑞,F,1525,1598,潜心学问，著述丰富，为后世留下宝贵文化遗产。,2,1,
10,李涛,M,1555,1619,为人正直，乐于助人，在乡里享有崇高威望。,3,1,3
11,李莲,F,1527,1600,学识渊博，教书育人，桃李满天下。,2,1,
12,李秀,M,1550,1610,投笔从戎，保家卫国，战功赫赫。,3,1,4
13,李洋,M,1562,1647,精于农事，善于经营，家道日益兴旺。,3,1,4
14,李华,F,1555,1625,精通医术，悬壶济世，救人无数。,3,1,4
15,李秀,M,1524,1594,精于农事，善于经营，家道日益兴旺。,2,1,
16,李妹,F,1552,1617,投笔从戎，保家卫国，战功赫赫。,3,1,5
17,李佳,F,1561,1636,历经风雨，坚韧不拔，白手起家。,3,1,5
18,李磊,M,1563,,一生勤劳朴实，耕读传家。,3,1,5
19,李军,M,1553,1630,潜心学问，著述丰富，为后世留下宝贵文化遗产。,3,1,5
20,李敏,M,1546,1625,投笔从戎，保家卫国，战功赫赫。,3,1,
21,李珍,M,1573,1644,为人正直，乐于助人，在乡里享有崇高威望。,4,1,6
22,李凤,F,1556,1606,性情温和，与邻为善，家庭和睦。,3,1,
23,李平,M,1581,1641,投笔从戎，保家卫国，战功赫赫。,4,1,7
24,李燕,M,1585,1642,历经风雨，坚韧不拔，白手起家。,4,1,7
25,李洁,F,1548,1603,为人正直，乐于助人，在乡里享有崇高威望。,3,1,
26,李磊,M,1585,1645,性情温和，与邻为善，家庭和睦。,4,1,8
27,李媛,F,1566,1629,投笔从戎，保家卫国，战功赫赫。,3,1,
28,李云,F,1596,1674,为人正直，乐于助人，在乡里享有崇高威望。,4,1,9
29,李涛,M,1584,1669,精于农事，善于经营，家道日益兴旺。,4,1,9
30,李伟,M,1584,1637,精于农事，善于经营，家道日益兴旺。,4,1,9
31,李敏,M,1550,1604,投笔从戎，保家卫国，战功赫赫。,3,1,
32,李玉,F,1579,1659,精于农事，善于经营，家道日益兴旺。,4,1,10
33,李环,F,1581,,精通医术，悬壶济世，救人无数。,4,1,10
34,李雪,F,1588,1641,为人正直，乐于助人，在乡里享有崇高威望。,4,1,10
35,李秀,M,1553,1609,精于农事，善于经营，家道日益兴旺。,3,1,
36,李玲,F,1585,1664,精于农事，善于经营，家道日益兴旺。,4,1,11
37,李梅,M,1575,,投笔从戎，保家卫国，战功赫赫。,4,1,11
38,李伟,M,1557,1622,学识渊博，教书育人，桃李满天下。,3,1,
39,李玉,F,1593,1653,精通医术，悬壶济世，救人无数。,4,1,12
40,李建,M,1589,1668,性情温和，与邻为善，家庭和睦。,4,1,12
41,李瑞,F,1596,1664,精于农事，善于经营，家道日益兴旺。,4,1,12
42,李桂,M,1582,1635,一生勤劳朴实，耕读传家。,4,1,12
43,李佳,F,1565,1648,学识渊博，教书育人，桃李满天下。,3,1,
44,李敏,M,1585,1650,精通医术，悬壶济世，救人无数。,4,1,13
45,李霞,F,1557,1609,潜心学问，著述丰富，为后世留下宝贵文化遗产。,3,1,
46,李莉,F,1579,1649,精于农事，善于经营，家道日益兴旺。,4,1,14
47,李真,F,1577,1646,经商有道，诚信经营，富甲一方。,4,1,14
48,李慧,F,1573,1629,为人正直，乐于助人，在乡里享有崇高威望。,4,1,14
49,李玉,M,1581,,历经风雨，坚韧不拔，白手起家。,4,1,14
50,李慧,F,1571,1631,经商有道，诚信经营，富甲一方。,4,1,
51,李婷,M,1602,1658,学识渊博，教书育人，桃李满天下。,5,1,15
52,李霞,F,1596,1655,性情温和，与邻为善，家庭和睦。,5,1,15
53,李嘉,F,1599,1662,性情温和，与邻为善，家庭和睦。,5,1,15
54,李莺,F,1583,1636,为人正直，乐于助人，在乡里享有崇高威望。,4,1,
55,李英,F,1601,1659,性情温和，与邻为善，家庭和睦。,5,1,16
56,李梅,M,1614,1671,为人正直，乐于助人，在乡里享有崇高威望。,5,1,16
57,李珍,M,1602,1687,学识渊博，教书育人，桃李满天下。,5,1,16
58,李玲,F,1602,1654,历经风雨，坚韧不拔，白手起家。,5,1,16
59,李玉,F,1590,1646,历经风雨，坚韧不拔，白手起家。,4,1,
60,李明,M,1610,1671,精通医术，悬壶济世，救人无数。,5,1,17
61,李勇,M,1615,1691,精于农事，善于经营，家道日益兴旺。,5,1,17
62,李萍,F,1608,1660,经商有道，诚信经营，富甲一方。,5,1,17
63,李艳,M,1619,1683,精于农事，善于经营，家道日益兴旺。,5,1,17
64,李娟,F,1590,1661,性情温和，与邻为善，家庭和睦。,4,1,
65,李莺,F,1617,1701,历经风雨，坚韧不拔，白手起家。,5,1,18
66,李强,M,1613,1679,一生勤劳朴实，耕读传家。,5,1,18
67,李燕,M,1618,1688,精通医术，悬壶济世，救人无数。,5,1,18
68,李燕,M,1599,1661,性情温和，与邻为善，家庭和睦。,4,1,
69,李荣,M,1622,1676,历经风雨，坚韧不拔，白手起家。,5,1,19
70,李霞,F,1625,1701,历经风雨，坚韧不拔，白手起家。,5,1,19
71,李凤,F,1620,1694,学识渊博，教书育人，桃李满天下。,5,1,19
72,李真,F,1616,1679,精通医术，悬壶济世，救人无数。,5,1,19
73,李佳,F,1588,1667,经商有道，诚信经营，富甲一方。,4,1,
74,李萍,F,1606,1677,为人正直，乐于助人，在乡里享有崇高威望。,5,1,20
75,李平,M,1611,1670,一生勤劳朴实，耕读传家。,5,1,20
76,李英,F,1582,1636,经商有道，诚信经营，富甲一方。,4,1,
77,李月,F,1616,1666,为人正直，乐于助人，在乡里享有崇高威望。,5,1,21
78,李珍,F,1609,1692,经商有道，诚信经营，富甲一方。,5,1,21
79,李秀,M,1582,1639,经商有道，诚信经营，富甲一方。,4,1,
80,李荣,F,1612,1697,经商有道，诚信经营，富甲一方。,5,1,22
81,李志,M,1613,1678,性情温和，与邻为善，家庭和睦。,5,1,22
82,李贞,F,1607,1675,精于农事，善于经营，家道日益兴旺。,5,1,22
83,李琳,F,1609,1664,学识渊博，教书育人，桃李满天下。,5,1,22
84,李军,M,1579,1638,精于农事，善于经营，家道日益兴旺。,4,1,
85,李琳,F,1615,1678,精通医术，悬壶济世，救人无数。,5,1,23
86,李佳,F,1601,1675,经商有道，诚信经营，富甲一方。,5,1,23
87,李英,M,1610,1686,投笔从戎，保家卫国，战功赫赫。,5,1,23
88,李文,M,1608,1689,一生勤劳朴实，耕读传家。,5,1,23
89,李建,M,1588,1663,学识渊博，教书育人，桃李满天下。,4,1,
90,李云,M,1608,,精通医术，悬壶济世，救人无数。,5,1,24
91,李兰,M,1613,,精通医术，悬壶济世，救人无数。,5,1,24
92,李刚,M,1583,1654,精通医术，悬壶济世，救人无数。,4,1,
